station,network,code,band,rate,lat,lon,elev_m,km,route,P,S,picks,fetched
II.BORG,II,BORG,BH,40.0,64.7474,-21.3268,110.0,109.97357438244504,IRIS,118,50,168,True
8F.VIGR,8F,VIGR,BH,50.0,63.89593,-22.12951,148.0,12.595039743228009,IRIS,0,0,0,False
8F.TKEL,8F,TKEL,BH,50.0,63.99022,-22.17662,41.0,16.65675859377949,IRIS,0,0,0,False
Y7.DC04,Y7,DC04,EH,200.0,64.0218209,-22.573202,34.0,19.338883939038418,eida,0,0,0,True
Y7.DC01,Y7,DC01,EH,200.0,64.025821,-22.576164,23.0,19.797577630225664,eida,0,0,0,True
Y7.DC05,Y7,DC05,EH,200.0,64.024972,-22.584769,29.0,19.922652927149237,eida,0,0,0,True
Y7.DC03,Y7,DC03,EH,200.0,64.029059,-22.570717,24.0,19.98784670723034,eida,0,0,0,True
Y7.DC02,Y7,DC02,EH,200.0,64.030117,-22.576616,26.0,20.227048279233685,eida,0,0,0,True
VI.ASB,VI,ASB,HH,100.0,64.74818,-21.32535,94.0,110.08243139921188,eida,0,0,0,False
